x,u(x)
3.52352352352352e-01,6.18168320031797e-01
3.53353353353353e-01,6.17461140166711e-01
3.54354354354354e-01,6.16751034273240e-01
3.55355355355355e-01,6.16038031494853e-01
3.56356356356356e-01,6.15322160684745e-01
3.57357357357357e-01,6.14603450408730e-01
3.58358358358358e-01,6.13881928948108e-01
3.59359359359359e-01,6.13157624302492e-01
3.60360360360360e-01,6.12430564192619e-01
3.61361361361361e-01,6.11700776063122e-01
3.62362362362362e-01,6.10968287085288e-01
3.63363363363363e-01,6.10233124159771e-01
3.64364364364364e-01,6.09495313919296e-01
3.65365365365365e-01,6.08754882731322e-01
3.66366366366366e-01,6.08011856700688e-01
3.67367367367367e-01,6.07266261672225e-01
3.68368368368368e-01,6.06518123233348e-01
3.69369369369369e-01,6.05767466716620e-01
3.70370370370370e-01,6.05014317202290e-01
3.71371371371371e-01,6.04258699520803e-01
3.72372372372372e-01,6.03500638255295e-01
3.73373373373373e-01,6.02740157744049e-01
3.74374374374374e-01,6.01977282082939e-01
3.75375375375375e-01,6.01212035127839e-01
3.76376376376376e-01,6.00444440497021e-01
3.77377377377377e-01,5.99674521573514e-01
3.78378378378378e-01,5.98902301507451e-01
3.79379379379379e-01,5.98127803218389e-01
3.80380380380380e-01,5.97351049397603e-01
3.81381381381381e-01,5.96572062510362e-01
3.82382382382382e-01,5.95790864798179e-01
3.83383383383383e-01,5.95007478281039e-01
3.84384384384384e-01,5.94221924759608e-01
3.85385385385385e-01,5.93434225817415e-01
3.86386386386386e-01,5.92644402823014e-01
3.87387387387387e-01,5.91852476932129e-01
3.88388388388388e-01,5.91058469089769e-01
3.89389389389389e-01,5.90262400032330e-01
3.90390390390390e-01,5.89464290289674e-01
3.91391391391391e-01,5.88664160187180e-01
3.92392392392392e-01,5.87862029847787e-01
3.93393393393393e-01,5.87057919194010e-01
3.94394394394394e-01,5.86251847949929e-01
3.95395395395395e-01,5.85443835643175e-01
3.96396396396396e-01,5.84633901606881e-01
3.97397397397397e-01,5.83822064981621e-01
3.98398398398398e-01,5.83008344717325e-01
3.99399399399399e-01,5.82192759575184e-01
4.00400400400400e-01,5.81375328129524e-01
4.01401401401401e-01,5.80556068769668e-01
4.02402402402402e-01,5.79734999701782e-01
4.03403403403403e-01,5.78912138950698e-01
4.04404404404404e-01,5.78087504361717e-01
4.05405405405405e-01,5.77261113602400e-01
4.06406406406406e-01,5.76432984164338e-01
4.07407407407407e-01,5.75603133364905e-01
4.08408408408408e-01,5.74771578348992e-01
4.09409409409409e-01,5.73938336090726e-01
4.10410410410410e-01,5.73103423395169e-01
4.11411411411411e-01,5.72266856900006e-01
4.12412412412412e-01,5.71428653077207e-01
4.13413413413413e-01,5.70588828234680e-01
4.14414414414414e-01,5.69747398517907e-01
4.15415415415415e-01,5.68904379911557e-01
4.16416416416416e-01,5.68059788241093e-01
4.17417417417417e-01,5.67213639174354e-01
4.18418418418418e-01,5.66365948223126e-01
4.19419419419419e-01,5.65516730744696e-01
4.20420420420420e-01,5.64666001943393e-01
4.21421421421421e-01,5.63813776872108e-01
4.22422422422422e-01,5.62960070433804e-01
4.23423423423423e-01,5.62104897383012e-01
4.24424424424424e-01,5.61248272327303e-01
4.25425425425425e-01,5.60390209728757e-01
4.26426426426426e-01,5.59530723905412e-01
4.27427427427427e-01,5.58669829032696e-01
4.28428428428428e-01,5.57807539144847e-01
4.29429429429429e-01,5.56943868136325e-01
4.30430430430430e-01,5.56078829763195e-01
4.31431431431431e-01,5.55212437644516e-01
4.32432432432432e-01,5.54344705263696e-01
4.33433433433433e-01,5.53475645969848e-01
4.34434434434434e-01,5.52605272979129e-01
4.35435435435435e-01,5.51733599376059e-01
4.36436436436436e-01,5.50860638114837e-01
4.37437437437437e-01,5.49986402020638e-01
4.38438438438438e-01,5.49110903790895e-01
4.39439439439439e-01,5.48234155996574e-01
4.40440440440440e-01,5.47356171083436e-01
4.41441441441441e-01,5.46476961373277e-01
4.42442442442442e-01,5.45596539065171e-01
4.43443443443443e-01,5.44714916236685e-01
4.44444444444444e-01,5.43832104845095e-01
4.45445445445445e-01,5.42948116728580e-01
4.46446446446446e-01,5.42062963607411e-01
4.47447447447447e-01,5.41176657085123e-01
4.48448448448448e-01,5.40289208649680e-01
4.49449449449449e-01,5.39400629674624e-01
4.50450450450450e-01,5.38510931420216e-01
4.51451451451451e-01,5.37620125034564e-01
4.52452452452452e-01,5.36728221554742e-01
4.53453453453453e-01,5.35835231907889e-01
4.54454454454454e-01,5.34941166912314e-01
4.55455455455455e-01,5.34046037278572e-01
4.56456456456456e-01,5.33149853610541e-01
4.57457457457457e-01,5.32252626406483e-01
4.58458458458458e-01,5.31354366060097e-01
4.59459459459459e-01,5.30455082861559e-01
4.60460460460460e-01,5.29554786998555e-01
4.61461461461461e-01,5.28653488557301e-01
4.62462462462462e-01,5.27751197523554e-01
4.63463463463463e-01,5.26847923783609e-01
4.64464464464464e-01,5.25943677125298e-01
4.65465465465465e-01,5.25038467238960e-01
4.66466466466466e-01,5.24132303718420e-01
4.67467467467467e-01,5.23225196061950e-01
4.68468468468468e-01,5.22317153673214e-01
4.69469469469469e-01,5.21408185862218e-01
4.70470470470470e-01,5.20498301846238e-01
4.71471471471471e-01,5.19587510750746e-01
4.72472472472472e-01,5.18675821610324e-01
4.73473473473473e-01,5.17763243369568e-01
4.74474474474474e-01,5.16849784883985e-01
4.75475475475475e-01,5.15935454920881e-01
4.76476476476476e-01,5.15020262160240e-01
4.77477477477477e-01,5.14104215195590e-01
4.78478478478478e-01,5.13187322534869e-01
4.79479479479479e-01,5.12269592601274e-01
4.80480480480480e-01,5.11351033734109e-01
4.81481481481481e-01,5.10431654189614e-01
4.82482482482482e-01,5.09511462141798e-01
4.83483483483483e-01,5.08590465683258e-01
4.84484484484485e-01,5.07668672825985e-01
4.85485485485485e-01,5.06746091502171e-01
4.86486486486486e-01,5.05822729565005e-01
4.87487487487487e-01,5.04898594789454e-01
4.88488488488488e-01,5.03973694873048e-01
4.89489489489490e-01,5.03048037436650e-01
4.90490490490490e-01,5.02121630025215e-01
4.91491491491491e-01,5.01194480108552e-01
4.92492492492492e-01,5.00266595082072e-01
4.93493493493493e-01,4.99337982267523e-01
4.94494494494495e-01,4.98408648913731e-01
4.95495495495495e-01,4.97478602197322e-01
4.96496496496497e-01,4.96547849223441e-01
4.97497497497497e-01,4.95616397026469e-01
4.98498498498498e-01,4.94684252570719e-01
4.99499499499500e-01,4.93751422751143e-01
5.00500500500501e-01,4.92817914394017e-01
5.01501501501502e-01,4.91883734257627e-01
5.02502502502503e-01,4.90948889032946e-01
5.03503503503503e-01,4.90013385344303e-01
5.04504504504504e-01,4.89077229750052e-01
5.05505505505506e-01,4.88140428743220e-01
5.06506506506507e-01,4.87202988752168e-01
5.07507507507508e-01,4.86264916141227e-01
5.08508508508508e-01,4.85326217211339e-01
5.09509509509509e-01,4.84386898200689e-01
5.10510510510511e-01,4.83446965285329e-01
5.11511511511512e-01,4.82506424579798e-01
5.12512512512513e-01,4.81565282137731e-01
5.13513513513513e-01,4.80623543952470e-01
