Particle,vx,vy,vz
1,-90.0414,104.278,-35.5092
0,-88.8809,-73.3322,364.834
1,-87.391,106.714,-35.8368
0,-90.8596,-70.9126,367.23
1,-84.68,109.084,-36.1662
0,-92.778,-68.4438,369.643
1,-81.91,111.385,-36.4973
0,-94.6347,-65.9272,372.074
1,-79.0827,113.618,-36.8302
0,-96.4286,-63.3643,374.523
1,-76.1997,115.779,-37.1648
0,-98.1586,-60.7568,376.989
1,-73.263,117.869,-37.5013
0,-99.8236,-58.1062,379.474
1,-70.2742,119.885,-37.8395
0,-101.422,-55.4142,381.978
1,-67.2353,121.826,-38.1795
0,-102.954,-52.6824,384.499
1,-64.1481,123.692,-38.5214
0,-104.417,-49.9125,387.039
1,-61.0144,125.48,-38.8652
0,-105.812,-47.1062,389.598
1,-57.8363,127.189,-39.2108
0,-107.136,-44.2653,392.176
1,-54.6157,128.82,-39.5583
0,-108.389,-41.3914,394.772
1,-51.3546,130.369,-39.9077
0,-109.571,-38.4864,397.387
1,-48.055,131.838,-40.259
0,-110.68,-35.5521,400.022
1,-44.7189,133.223,-40.6122
0,-111.716,-32.5902,402.675
1,-41.3484,134.525,-40.9674
0,-112.678,-29.6027,405.348
1,-37.9457,135.743,-41.3246
0,-113.566,-26.5913,408.041
1,-34.5127,136.876,-41.6838
0,-114.378,-23.5579,410.753
1,-31.0516,137.923,-42.0449
0,-115.115,-20.5044,413.485
1,-27.5646,138.884,-42.4081
0,-115.775,-17.4327,416.237
1,-24.0539,139.757,-42.7734
0,-116.359,-14.3447,419.009
1,-20.5216,140.542,-43.1407
0,-116.866,-11.2423,421.801
1,-16.9699,141.24,-43.51
0,-117.295,-8.12748,424.613
1,-13.401,141.848,-43.8815
0,-117.647,-5.00212,427.445
1,-9.81721,142.367,-44.255
0,-117.921,-1.86818,430.299
1,-6.22067,142.796,-44.6307
0,-118.116,1.27238,433.173
1,-2.61365,143.136,-45.0086
0,-118.233,4.41761,436.067
1,1.0016,143.385,-45.3886
0,-118.272,7.56555,438.983
1,4.62282,143.544,-45.7708
0,-118.232,10.7142,441.92
1,8.24775,143.613,-46.1551
0,-118.113,13.8617,444.878
1,11.8741,143.591,-46.5418
0,-117.916,17.006,447.858
1,15.4997,143.478,-46.9306
0,-117.641,20.1451,450.859
1,19.1222,143.275,-47.3217
0,-117.287,23.2772,453.881
1,22.7393,142.981,-47.7151
0,-116.855,26.4001,456.926
1,26.3488,142.596,-48.1108
0,-116.345,29.5121,459.992
1,29.9484,142.122,-48.5088
0,-115.758,32.611,463.081
1,33.5359,141.557,-48.9091
0,-115.093,35.6951,466.192
1,37.1091,140.903,-49.3117
0,-114.351,38.7623,469.325
1,40.6655,140.159,-49.7168
0,-113.533,41.8108,472.481
1,44.2032,139.327,-50.1242
0,-112.639,44.8385,475.66
1,47.7197,138.406,-50.5341
0,-111.669,47.8437,478.861
1,51.213,137.397,-50.9464
0,-110.624,50.8244,482.086
1,54.6807,136.301,-51.3611
0,-109.505,53.7788,485.334
1,58.1208,135.118,-51.7783
0,-108.313,56.705,488.605
1,61.5311,133.849,-52.198
0,-107.047,59.6011,491.899
1,64.9093,132.495,-52.6202
0,-105.709,62.4653,495.217
1,68.2535,131.057,-53.0449
0,-104.3,65.2959,498.559
1,71.5614,129.535,-53.4722
0,-102.82,68.091,501.925
1,74.831,127.93,-53.902
0,-101.27,70.8489,505.316
1,78.0602,126.244,-54.3345
0,-99.6518,73.5678,508.73
1,81.247,124.477,-54.7695
0,-97.9657,76.2461,512.169
1,84.3893,122.63,-55.2072
0,-96.2128,78.8819,515.633
1,87.4852,120.705,-55.6476
0,-94.3942,81.4737,519.121
1,90.5327,118.703,-56.0906
0,-92.511,84.0198,522.634
1,93.5298,116.624,-56.5363
0,-90.5643,86.5187,526.173
1,96.4748,114.47,-56.9848
0,-88.5554,88.9686,529.737
1,99.3656,112.243,-57.4359
0,-86.4855,91.368,533.326
1,102.2,109.944,-57.8899
0,-84.3558,93.7155,536.941
1,104.978,107.574,-58.3466
0,-82.1675,96.0096,540.581
1,107.695,105.134,-58.8061
0,-79.9222,98.2487,544.248
1,110.352,102.627,-59.2685
0,-77.6211,100.431,547.941
1,112.945,100.053,-59.7337
0,-75.2656,102.556,551.66
1,115.474,97.4148,-60.2018
0,-72.8572,104.622,555.406
1,117.936,94.7131,-60.6728
0,-70.3974,106.628,559.179
1,120.331,91.95,-61.1467
0,-67.8877,108.571,562.978
1,122.657,89.127,-61.6235
0,-65.3296,110.452,566.804
1,124.911,86.246,-62.1033
0,-62.7247,112.269,570.658
1,127.093,83.3087,-62.5861
0,-60.0746,114.02,574.539
1,129.202,80.317,-63.0719
0,-57.3809,115.705,578.448
