Particle,vx,vy,vz
1,-537.147,-1384.99,-1344.3
0,1230.97,-528.039,11716.8
1,-571.68,-1369.62,-1353.9
0,1215.96,-557.13,11797.9
1,-605.83,-1353.39,-1363.57
0,1200.23,-585.846,11879.6
1,-639.575,-1336.3,-1373.3
0,1183.78,-614.171,11961.9
1,-672.893,-1318.37,-1383.09
0,1166.62,-642.084,12044.7
1,-705.764,-1299.6,-1392.96
0,1148.76,-669.57,12128.1
1,-738.167,-1280.02,-1402.89
0,1130.21,-696.61,12212
1,-770.081,-1259.62,-1412.88
0,1110.98,-723.187,12296.6
1,-801.486,-1238.43,-1422.95
0,1091.09,-749.284,12381.8
1,-832.362,-1216.45,-1433.08
0,1070.55,-774.885,12467.5
1,-862.69,-1193.7,-1443.28
0,1049.36,-799.974,12553.9
1,-892.45,-1170.19,-1453.56
0,1027.54,-824.533,12640.8
1,-921.623,-1145.94,-1463.9
0,1005.11,-848.549,12728.4
1,-950.191,-1120.96,-1474.31
0,982.078,-872.004,12816.6
1,-978.135,-1095.27,-1484.79
0,958.458,-894.884,12905.4
1,-1005.44,-1068.87,-1495.35
0,934.264,-917.175,12994.8
1,-1032.08,-1041.8,-1505.97
0,909.512,-938.863,13084.8
1,-1058.05,-1014.06,-1516.67
0,884.216,-959.932,13175.5
1,-1083.33,-985.668,-1527.45
0,858.393,-980.37,13266.8
1,-1107.89,-956.646,-1538.29
0,832.057,-1000.16,13358.7
1,-1131.73,-927.011,-1549.21
0,805.225,-1019.3,13451.3
1,-1154.84,-896.78,-1560.2
0,777.914,-1037.77,13544.6
1,-1177.18,-865.973,-1571.27
0,750.14,-1055.55,13638.4
1,-1198.76,-834.606,-1582.42
0,721.92,-1072.64,13733
1,-1219.56,-802.701,-1593.64
0,693.272,-1089.03,13828.2
1,-1239.56,-770.277,-1604.93
0,664.214,-1104.7,13924
1,-1258.75,-737.353,-1616.31
0,634.762,-1119.65,14020.6
1,-1277.11,-703.95,-1627.76
0,604.936,-1133.86,14117.8
1,-1294.65,-670.088,-1639.29
0,574.753,-1147.33,14215.7
1,-1311.34,-635.789,-1650.9
