Particle,vx,vy,vz
1,-1214.65,252.212,-5.35998e+31
0,-286.667,-1039.02,4.59152e+32
1,-1208.81,285.758,-5.38856e+31
0,-315.353,-1032.36,4.61599e+32
1,-1202.18,319.073,-5.41728e+31
0,-343.803,-1025.04,4.64058e+32
1,-1194.77,352.139,-5.44614e+31
0,-372,-1017.06,4.66529e+32
1,-1186.58,384.939,-5.47514e+31
0,-399.93,-1008.42,4.69012e+32
1,-1177.63,417.454,-5.50428e+31
0,-427.577,-999.132,4.71507e+32
1,-1167.93,449.667,-5.53356e+31
0,-454.928,-989.208,4.74014e+32
1,-1157.47,481.561,-5.56299e+31
0,-481.966,-978.654,4.76533e+32
1,-1146.29,513.118,-5.59255e+31
0,-508.679,-967.48,4.79064e+32
1,-1134.37,544.321,-5.62225e+31
0,-535.052,-955.695,4.81608e+32
1,-1121.74,575.155,-5.6521e+31
0,-561.071,-943.31,4.84164e+32
1,-1108.4,605.603,-5.6821e+31
0,-586.723,-930.334,4.86732e+32
1,-1094.37,635.649,-5.71223e+31
0,-611.995,-916.777,4.89312e+32
1,-1079.65,665.278,-5.74252e+31
0,-636.874,-902.65,4.91905e+32
1,-1064.26,694.474,-5.77295e+31
0,-661.347,-887.965,4.9451e+32
1,-1048.22,723.222,-5.80352e+31
0,-685.402,-872.732,4.97128e+32
1,-1031.53,751.508,-5.83425e+31
0,-709.027,-856.964,4.99758e+32
1,-1014.2,779.318,-5.86512e+31
0,-732.21,-840.67,5.02401e+32
1,-996.256,806.637,-5.89614e+31
0,-754.939,-823.865,5.05057e+32
1,-977.703,833.452,-5.92731e+31
0,-777.205,-806.56,5.07726e+32
1,-958.557,859.751,-5.95863e+31
0,-798.995,-788.767,5.10408e+32
1,-938.831,885.519,-5.9901e+31
0,-820.3,-770.499,5.13102e+32
1,-918.54,910.744,-6.02172e+31
0,-841.11,-751.77,5.1581e+32
1,-897.699,935.415,-6.05349e+31
0,-861.414,-732.591,5.1853e+32
1,-876.322,959.52,-6.08542e+31
0,-881.204,-712.977,5.21264e+32
1,-854.425,983.047,-6.1175e+31
0,-900.47,-692.942,5.24011e+32
1,-832.022,1005.99,-6.14974e+31
0,-919.203,-672.498,5.26771e+32
1,-809.129,1028.33,-6.18213e+31
0,-937.396,-651.659,5.29544e+32
1,-785.761,1050.06,-6.21468e+31
0,-955.04,-630.441,5.32331e+32
1,-761.936,1071.17,-6.24739e+31
0,-972.127,-608.856,5.35131e+32
1,-737.668,1091.65,-6.28025e+31
0,-988.651,-586.919,5.37945e+32
1,-712.974,1111.5,-6.31327e+31
0,-1004.6,-564.645,5.40772e+32
1,-687.87,1130.7,-6.34645e+31
0,-1019.98,-542.048,5.43613e+32
1,-662.374,1149.24,-6.37979e+31
0,-1034.77,-519.144,5.46468e+32
1,-636.501,1167.13,-6.41329e+31
0,-1048.98,-495.946,5.49336e+32
1,-610.269,1184.34,-6.44696e+31
0,-1062.58,-472.469,5.52218e+32
1,-583.694,1200.88,-6.48078e+31
0,-1075.59,-448.73,5.55114e+32
1,-556.794,1216.74,-6.51477e+31
0,-1088,-424.742,5.58024e+32
1,-529.586,1231.91,-6.54892e+31
0,-1099.79,-400.521,5.60948e+32
1,-502.087,1246.39,-6.58324e+31
0,-1110.98,-376.083,5.63887e+32
1,-474.315,1260.17,-6.61772e+31
0,-1121.54,-351.442,5.66839e+32
1,-446.288,1273.24,-6.65237e+31
0,-1131.49,-326.614,5.69805e+32
1,-418.022,1285.61,-6.68718e+31
0,-1140.82,-301.614,5.72786e+32
1,-389.535,1297.27,-6.72217e+31
0,-1149.52,-276.457,5.75782e+32
1,-360.846,1308.21,-6.75732e+31
0,-1157.59,-251.16,5.78791e+32
1,-331.971,1318.43,-6.79264e+31
0,-1165.03,-225.737,5.81815e+32
1,-302.928,1327.94,-6.82813e+31
0,-1171.85,-200.204,5.84854e+32
1,-273.736,1336.72,-6.86379e+31
0,-1178.03,-174.576,5.87908e+32
1,-244.412,1344.78,-6.89963e+31
0,-1183.58,-148.868,5.90976e+32
1,-214.973,1352.11,-6.93563e+31
0,-1188.51,-123.097,5.94059e+32
1,-185.437,1358.72,-6.97182e+31
0,-1192.8,-97.2767,5.97156e+32
1,-155.823,1364.6,-7.00817e+31
0,-1196.45,-71.4231,6.00269e+32
1,-126.147,1369.75,-7.0447e+31
0,-1199.48,-45.5513,6.03397e+32
1,-96.4272,1374.18,-7.08141e+31
0,-1201.88,-19.6765,6.0654e+32
1,-66.6812,1377.88,-7.11829e+31
0,-1203.66,6.18625,6.09698e+32
1,-36.9264,1380.87,-7.15535e+31
0,-1204.8,32.022,6.12871e+32
1,-7.18014,1383.12,-7.19259e+31
0,-1205.33,57.8157,6.16059e+32
1,22.5403,1384.66,-7.23001e+31
0,-1205.23,83.5527,6.19263e+32
1,52.2177,1385.49,-7.26761e+31
0,-1204.52,109.218,6.22482e+32
1,81.8349,1385.59,-7.3054e+31
0,-1203.19,134.797,6.25717e+32
1,111.375,1384.99,-7.34336e+31
0,-1201.26,160.276,6.28968e+32
1,140.821,1383.68,-7.38151e+31
0,-1198.72,185.64,6.32234e+32
1,170.157,1381.67,-7.41984e+31
0,-1195.57,210.874,6.35516e+32
1,199.365,1378.96,-7.45835e+31
0,-1191.83,235.965,6.38813e+32
1,228.43,1375.55,-7.49705e+31
0,-1187.5,260.899,6.42127e+32
1,257.335,1371.46,-7.53594e+31
0,-1182.58,285.662,6.45456e+32
1,286.064,1366.69,-7.57501e+31
0,-1177.08,310.241,6.48802e+32
1,314.602,1361.24,-7.61428e+31
0,-1171.01,334.621,6.52164e+32
1,342.931,1355.12,-7.65373e+31
0,-1164.37,358.79,6.55542e+32
1,371.038,1348.33,-7.69337e+31
0,-1157.16,382.735,6.58936e+32
1,398.906,1340.89,-7.73321e+31
0,-1149.4,406.442,6.62346e+32
1,426.521,1332.81,-7.77323e+31
0,-1141.09,429.9,6.65773e+32
1,453.868,1324.08,-7.81345e+31
0,-1132.25,453.095,6.69217e+32
1,480.932,1314.72,-7.85387e+31
0,-1122.87,476.016,6.72677e+32
1,507.698,1304.73,-7.89447e+31
0,-1112.96,498.649,6.76154e+32
1,534.153,1294.13,-7.93528e+31
0,-1102.54,520.985,6.79647e+32
1,560.282,1282.92,-7.97628e+31
0,-1091.61,543.01,6.83158e+32
1,586.073,1271.12,-8.01748e+31
0,-1080.18,564.714,6.86685e+32
1,611.51,1258.73,-8.05887e+31
0,-1068.27,586.085,6.9023e+32
1,636.583,1245.76,-8.10047e+31
0,-1055.87,607.114,6.93791e+32
1,661.276,1232.23,-8.14226e+31
0,-1043,627.788,6.9737e+32
1,685.579,1218.14,-8.18426e+31
0,-1029.67,648.097,7.00965e+32
1,709.478,1203.51,-8.22646e+31
0,-1015.89,668.033,7.04579e+32
1,732.962,1188.34,-8.26887e+31
0,-1001.66,687.584,7.08209e+32
