Particle,x,y,z
1,-510.64,-322.369,-973.263
0,240.415,-1064.38,7788.38
1,-499.092,-312.628,-979.283
0,233.129,-1053.91,7843.92
1,-487.299,-303.157,-985.35
0,226.089,-1043.25,7899.84
1,-475.266,-293.962,-991.465
0,219.301,-1032.39,7956.14
1,-463,-285.049,-997.627
0,212.768,-1021.35,8012.82
1,-450.509,-276.424,-1003.84
0,206.495,-1010.12,8069.88
1,-437.799,-268.094,-1010.1
0,200.488,-998.719,8127.34
1,-424.879,-260.062,-1016.4
0,194.75,-987.148,8185.18
1,-411.756,-252.335,-1022.76
0,189.285,-975.416,8243.42
1,-398.436,-244.917,-1029.16
0,184.098,-963.529,8302.06
1,-384.929,-237.813,-1035.62
0,179.193,-951.494,8361.09
1,-371.242,-231.029,-1042.12
0,174.572,-939.318,8420.53
1,-357.382,-224.569,-1048.68
0,170.24,-927.009,8480.37
1,-343.359,-218.436,-1055.28
0,166.2,-914.573,8540.62
1,-329.18,-212.635,-1061.94
0,162.456,-902.018,8601.28
1,-314.854,-207.17,-1068.65
0,159.009,-889.351,8662.35
1,-300.388,-202.045,-1075.4
0,155.863,-876.58,8723.84
1,-285.792,-197.262,-1082.21
0,153.02,-863.712,8785.75
1,-271.074,-192.826,-1089.08
0,150.483,-850.755,8848.08
1,-256.243,-188.739,-1095.99
0,148.254,-837.716,8910.84
1,-241.308,-185.004,-1102.96
0,146.335,-824.604,8974.03
1,-226.277,-181.624,-1109.98
0,144.728,-811.426,9037.65
1,-211.159,-178.601,-1117.05
0,143.434,-798.19,9101.7
1,-195.963,-175.938,-1124.18
0,142.455,-784.903,9166.19
1,-180.699,-173.635,-1131.36
0,141.792,-771.574,9231.12
1,-165.375,-171.695,-1138.6
0,141.446,-758.21,9296.5
1,-150,-170.12,-1145.89
0,141.418,-744.82,9362.32
1,-134.584,-168.91,-1153.23
0,141.709,-731.411,9428.59
1,-119.136,-168.067,-1160.63
0,142.319,-717.992,9495.32
1,-103.664,-167.592,-1168.09
0,143.248,-704.57,9562.5
1,-88.1786,-167.484,-1175.6
0,144.496,-691.154,9630.14
1,-72.6883,-167.745,-1183.17
0,146.064,-677.751,9698.25
1,-57.2026,-168.374,-1190.8
0,147.95,-664.369,9766.82
1,-41.7306,-169.372,-1198.49
0,150.155,-651.017,9835.86
1,-26.2816,-170.737,-1206.23
0,152.677,-637.702,9905.38
1,-10.8648,-172.47,-1214.03
0,155.516,-624.432,9975.37
1,4.51057,-174.57,-1221.88
0,158.67,-611.216,10045.8
