Particle,x,y,z
1,449.851,-2833.49,-5.15728e+31
0,2445.56,359.401,4.41563e+32
1,431.553,-2801.9,-5.18214e+31
0,2417.4,345.115,4.43692e+32
1,414.062,-2769.95,-5.20712e+31
0,2388.98,331.543,4.45831e+32
1,397.385,-2737.67,-5.23223e+31
0,2360.3,318.689,4.4798e+32
1,381.526,-2705.08,-5.25745e+31
0,2331.4,306.558,4.5014e+32
1,366.493,-2672.19,-5.2828e+31
0,2302.28,295.153,4.5231e+32
1,352.288,-2639.03,-5.30826e+31
0,2272.97,284.476,4.5449e+32
1,338.917,-2605.62,-5.33386e+31
0,2243.48,274.532,4.56682e+32
1,326.384,-2571.98,-5.35957e+31
0,2213.83,265.322,4.58883e+32
1,314.691,-2538.13,-5.38541e+31
0,2184.04,256.847,4.61095e+32
1,303.842,-2504.09,-5.41137e+31
0,2154.13,249.11,4.63318e+32
1,293.838,-2469.88,-5.43746e+31
0,2124.11,242.112,4.65552e+32
1,284.682,-2435.52,-5.46368e+31
0,2094,235.852,4.67797e+32
1,276.375,-2401.04,-5.49002e+31
0,2063.83,230.331,4.70052e+32
1,268.917,-2366.44,-5.51648e+31
0,2033.6,225.549,4.72318e+32
1,262.309,-2331.77,-5.54308e+31
0,2003.34,221.505,4.74595e+32
1,256.55,-2297.03,-5.5698e+31
0,1973.06,218.198,4.76883e+32
1,251.641,-2262.24,-5.59665e+31
0,1942.79,215.626,4.79182e+32
1,247.579,-2227.43,-5.62364e+31
0,1912.54,213.787,4.81492e+32
1,244.363,-2192.61,-5.65075e+31
0,1882.32,212.678,4.83814e+32
1,241.991,-2157.81,-5.67799e+31
0,1852.16,212.297,4.86146e+32
1,240.46,-2123.05,-5.70536e+31
0,1822.07,212.641,4.8849e+32
1,239.766,-2088.35,-5.73287e+31
0,1792.07,213.706,4.90845e+32
1,239.908,-2053.72,-5.76051e+31
0,1762.18,215.487,4.93211e+32
1,240.879,-2019.19,-5.78828e+31
0,1732.41,217.981,4.95589e+32
1,242.676,-1984.77,-5.81618e+31
0,1702.77,221.182,4.97978e+32
1,245.294,-1950.49,-5.84422e+31
0,1673.3,225.085,5.00379e+32
1,248.727,-1916.37,-5.8724e+31
0,1644,229.685,5.02791e+32
1,252.969,-1882.42,-5.90071e+31
0,1614.89,234.975,5.05215e+32
1,258.015,-1848.66,-5.92916e+31
0,1585.98,240.949,5.07651e+32
1,263.856,-1815.12,-5.95774e+31
0,1557.29,247.601,5.10098e+32
1,270.487,-1781.8,-5.98647e+31
0,1528.84,254.923,5.12558e+32
1,277.898,-1748.73,-6.01533e+31
0,1500.65,262.907,5.15029e+32
1,286.083,-1715.94,-6.04433e+31
0,1472.72,271.547,5.17512e+32
1,295.033,-1683.42,-6.07347e+31
0,1445.07,280.833,5.20006e+32
1,304.738,-1651.21,-6.10275e+31
0,1417.72,290.757,5.22513e+32
1,315.191,-1619.31,-6.13217e+31
0,1390.68,301.311,5.25033e+32
1,326.38,-1587.76,-6.16173e+31
0,1363.97,312.485,5.27564e+32
1,338.296,-1556.55,-6.19144e+31
0,1337.59,324.27,5.30107e+32
1,350.928,-1525.72,-6.22129e+31
0,1311.57,336.655,5.32663e+32
1,364.266,-1495.27,-6.25128e+31
0,1285.92,349.632,5.35231e+32
1,378.298,-1465.22,-6.28142e+31
0,1260.65,363.188,5.37811e+32
1,393.014,-1435.6,-6.3117e+31
0,1235.77,377.315,5.40404e+32
1,408.4,-1406.4,-6.34213e+31
0,1211.3,392,5.43009e+32
1,424.446,-1377.65,-6.3727e+31
0,1187.24,407.233,5.45627e+32
1,441.138,-1349.37,-6.40343e+31
0,1163.62,423.002,5.48258e+32
1,458.463,-1321.56,-6.4343e+31
0,1140.44,439.295,5.50901e+32
